    Date           Stock     Reported  Dollar Value     Warrants
 (yyyymmdd)       Volume       Trades     (mils. $)       Volume
    19920615    163893410       103301        5409.5       179700
    19920616    194127299       103947        6552.8       268400
    19920617    242684680       129083        8189.2       656300
    19920618    225261422       116114        7636.9       341000
    19920619    240532690       130326        8503.7       319200
    19920622    169352430        99126        5665.2       277700
    19920623    190682532       112435        6417.8       172400
    19920624    193939802       105068        6428.6       387000
    19920625    182525249       100661        6418.3       429900
    19920626    154391154        86018        5113.4       386100
    19920629    176597690       103305        5812.5       151500
    19920630    200804574       115575        6715.5       178200
    19920701    214057880       110595        7079.7       188900
    19920702    219303970       118637        7659.8       891200
    19920706    186544410       111538        6421.1       377500
    19920707    225769828       123357        7853.5       281200
    19920708    200767254       117070        6813.1       260900
    19920709    208942980       117069        6813.4       255800
    19920710    164551120       102939        5312.1       169900
    19920713    148526500        96403        4794.8       349200
    19920714    195278950       111792        6204.2       288200
    19920715    207989140       111898        7005.2       315800
    19920716    206775862       112537        6984.0       127400
    19920717    191889055       112067        6974.0       229000
    19920720    165516120       105397        5600.1       242300
    19920721    173390890        99651        5694.3       369600
    19920722    191620068       104714        6158.2       213400
    19920723    179195829       104403        5868.9       878500
    19920724    163592430        96737        5071.8       302000
    19920727    164210960        92910        4873.4       483700
    19920728    217429040       122603        7068.1       630400
    19920729    275104880       150552        9192.5       745400
    19920730    193084800       117132        6310.4       325600
    19920731    180291805       104940        5916.6       281700
    19920803    164271090       100777        5380.0       186500
    19920804    166521490       101235        5510.1       238800
    19920805    172160260       101120        5834.5       289200
    19920806    181385880        96600        6127.7       165000
    19920807    190032590       116084        6715.9       604700
    19920810    142081840        94564        4643.5       401600
    19920811    173518330       111931        5843.8       417200
    19920812    175970630       100687        5676.0      1070100
    19920813    185176040       105739        6119.2       490200
    19920814    166470475        97091        5186.0       353600
    19920817    152657320       102544        4900.7       176400
    19920818    171515145       103666        5494.9       232200
    19920819    186552453       109536        5901.4       515600
    19920820    183135250       106633        5929.4       281600
    19920821    204466550       127905        7156.6       326100
    19920824    165239880       109740        5418.4       447500
    19920825    202513510       112413        6496.8       243200
    19920826    171597070        98162        5535.2       267300
    19920827    178403565       108717        5911.9       198000
    19920828    152061200        90741        4955.1       194100
    19920831    161318058       100444        4958.5       165700
    19920901    174265000        99059        5514.0       162300
    19920902    187165910       109928        6057.1       316000
    19920903    212248300       121445        7051.8       251800
    19920904    124052150        85802        3976.2       302100
    19920908    161088650        98849        5131.8       340700
    19920909    178481636       105208        5782.8       305600
