        DATE            STOCK
        VOLUME

        19841121         81624630
        19841123         73917590
        19841126         76521870
        19841127         95480040
        19841128         86297200
        19841129         75860850
        19841130         77581570
        19841203         95299790
        19841204         81245450
        19841205         88696670
        19841206         95747040
        19841207         81002170
        19841210         81156630
        19841211         80249930
        19841212         78710840
        19841213         80852350
        19841214         95058590
        19841217         89498840
        19841218        169092950
        19841219        139810680
        19841220         93232160
        19841221        101296060
        19841224         55547220
        19841226         46700880
        19841227         70105104
        19841228         77073470
        19841231         80260350
        19850102         67832040
        19850103         88881430
        19850104         77526210
        19850107         86187190
        19850108         92113310
        19850109         99206560
        19850110        124741310
        19850111        107600020
        19850114        124893040
        19850115        155265900
        19850116        135547870
        19850117        113553190
        19850118        104718480
        19850121        146843230
        19850122        174764880
        19850123        144467430
        19850124        160753140
        19850125        122444900
        19850128        128413080
        19850129        115734110
        19850130        170026410
        19850131        132470710
        19850201        105442660
        19850204        113733740
        19850205        143500170
        19850206        140982980
        19850207        151733880
        19850208        116459630
        19850211        103995020
        19850212        111116270
        19850213        142461750
        19850214        139734850
        19850215        106471630
        19850219         90401070
        19850220        118220210
        19850221        104022880
        19850222         93687480
        19850225         89748770
        19850226        114152410
        19850227        107690800
        19850228        100726230
        19850301        139883510
        19850304        102080230
        19850305        116373880
        19850306        116906940
        19850307        112095710
        19850308         96380910
        19850311         84118440
        19850312         92861460
        19850313        101680020
        19850314        103352930
        19850315        105468260
        19850318         94030690
        19850319        119172200
        19850320        107532700
        19850321         95936960
        19850322         99250810
        19850325         74112280
        19850326         89946130
        19850327        101068410
        19850328        100814760
        19850329        101337220
        19850401         89909930
        19850402        101636350
        19850403         95481300
        19850404         86933080
        19850408         79961070
        19850409         83979670
        19850410        108154560
        19850411        108384950
        19850412         86222630
        19850415         80656770
        19850416         98483860
        19850417         96035020
        19850418        100652840
        19850419         81187260
        19850422         79928690
        19850423        108925890
        19850424         99597250
        19850425        108639400
        19850426         86570390
        19850429         88946090
        19850430        111832440
        19850501        101548270
        19850502        107440920
        19850503         94874000
        19850506         85645500
        19850507        100276500
        19850508        101281490
        19850509        111013130
        19850510        140258450
        19850513         85828460
        19850514         97363160
        19850515        106120950
        19850516         99420850
        19850517        124636867
        19850520        146307690
        19850521        130151070
        19850522        101374050
        19850523        101007420
        19850524         85988320
        19850528         90607534
        19850529         96538430
        19850530        108336720
        19850531        134164220
        19850603        124997760
        19850604        115429080
        19850605        143882230
        19850606        117148630
        19850607         99628800
        19850610         87945120
        19850611        102064595
        19850612         97694628
        19850613        107052360
        19850614         92992710
        19850617         82168480
        19850618        106937470
        19850619        108277610
        19850620         87507750
        19850621        125401704
        19850624         96049940
        19850625        115655872
        19850626         94134150
        19850627        107263230
        19850628        105240890
        19850701         96085890
        19850702        111080680
        19850703         98422260
        19850705         62439150
        19850708         83672490
        19850709         99062530
        19850710        108208280
        19850711        122807520
        19850712        120262980
        19850715        103911900
        19850716        132501930
        19850717        159943080
        19850718        131278410
        19850719        114849030
        19850722         93532120
        19850723        143634990
        19850724        128613120
        19850725        123277760
        19850726        106949150
        19850729         95965560
        19850730        102273392
        19850731        124172870
        19850801        121489740
        19850802         87859053
        19850805         80660390
        19850806        103995720
        19850807        100039150
        19850808        102868290
        19850809         81754130
        19850812         77343700
        19850813         80302430
        19850814         85775830
        19850815         86100320
        19850816         87911820
        19850819         67971870
        19850820         91226640
        19850821         94875870
        19850822         90605000
        19850823         75271660
        19850826         70293330
        19850827         82137480
