gvkeyx,bkvlps,cshtrm,dvpsxm,dvrate,epsx12,prccm,prchm,prclm,datadate,conm,indextype,tic,spii,spmi,indexcat
000005,,,8.5600,102.7200,150.2200,3635.9600,3911.7798,3544.1199,31MAR1994,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.5500,102.7200,150.2200,3681.6899,3733.1499,3520.7998,30APR1994,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.5500,102.7200,150.2200,3758.3699,3788.7598,3609.7100,31MAY1994,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.5500,102.6000,194.8100,3624.9600,3839.8799,3603.9199,30JUN1994,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.9900,102.6000,194.8100,3764.5000,3782.6299,3611.0398,31JUL1994,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.9900,102.6000,194.8100,3913.4199,3954.5398,3722.4099,31AUG1994,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.9900,107.8800,213.8700,3843.1899,3972.7200,3804.5000,30SEP1994,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,9.1200,107.8800,213.8700,3908.1199,3958.2500,3736.2000,31OCT1994,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,9.1200,107.8800,213.8700,3739.2300,3919.8999,3612.0498,30NOV1994,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,1305.0000,,9.1200,109.4400,256.1299,3834.4399,3882.2100,3638.9700,31DEC1994,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,9.3800,109.4400,256.1299,3843.8599,3955.5598,3794.3999,31JAN1995,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,9.3800,109.4400,256.1299,4011.0498,4034.6199,3809.2100,28FEB1995,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,9.3800,112.5600,289.9700,4157.6875,4213.7070,3935.3098,31MAR1995,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,9.4500,112.5600,289.9700,4321.2695,4348.9375,4129.6797,30APR1995,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,9.4500,112.5600,289.9700,4465.1367,4480.6992,4278.7266,31MAY1995,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
