sdate,nyse_volume,nyse_trades,nyse_dv,nyse_warrants_volume
19911203,186778050.00,111844.00,6053.70,303100
19911204,187557580.00,113900.00,6331.80,371100
19911205,165468230.00,108946.00,5337.50,442600
19911206,197082940.00,123002.00,6752.30,688900
19911209,174137220.00,109575.00,5651.30,215300
19911210,191915784.00,115943.00,6159.20,492500
19911211,206800780.00,117070.00,6514.70,510800
19911212,192417070.00,115425.00,6167.20,543600
19911213,200903700.00,116422.00,6499.00,550300
19911216,175244149.00,108602.00,5564.60,286200
19911217,191459560.00,107786.00,5890.80,261100
19911218,194171550.00,112177.00,6042.90,279400
19911219,198602570.00,112896.00,6149.80,731200
19911220,317362120.00,176895.00,11416.60,1054100
19911223,228485990.00,140338.00,7554.20,692200
19911224,162110080.00,110403.00,5571.90,196000
19911226,148874370.00,98584.00,4840.10,357400
19911227,155916310.00,112254.00,5195.80,344100
19911230,244530790.00,172763.00,8297.90,1053400
19911231,247661410.00,196244.00,8726.60,878200
19920102,207125703.00,149416.00,7679.90,440000
19920103,223900610.00,155632.00,8088.60,363300
19920106,250284886.00,166946.00,8826.20,913800
19920107,252208376.00,156608.00,8695.40,554400
19920108,290264150.00,178349.00,10198.50,462900
19920109,291936340.00,181486.00,10098.30,411600
19920110,235810400.00,150227.00,8071.90,315100
19920113,199085230.00,136084.00,6708.40,1271400
19920114,264426507.00,151972.00,8980.10,1440400
19920115,311435530.00,183912.00,10970.00,1338700
19920116,335182850.00,193117.00,12640.90,902700
19920117,286077710.00,162890.00,10812.40,952400
19920120,180192640.00,131619.00,6284.70,429500
19920121,218174750.00,139452.00,8012.30,453800
19920122,227491700.00,134138.00,8065.90,433300
19920123,233963069.00,141212.00,8028.00,463100
19920124,213558090.00,129424.00,7270.30,294900
19920127,190312960.00,117595.00,6318.90,425400
19920128,216271940.00,132589.00,7648.60,627200
19920129,248350030.00,159631.00,9059.00,377300
19920130,194527200.00,135615.00,6982.30,436800
19920131,197193670.00,143372.00,7116.60,214100
19920203,184272470.00,130707.00,6593.70,194900
19920204,233227060.00,140402.00,7972.90,192500
19920205,261715318.00,153745.00,8996.50,302800
19920206,241436540.00,142851.00,8090.60,418400
19920207,230554620.00,156267.00,8116.60,320100
19920210,187482810.00,123219.00,6337.30,536800
19920211,199355060.00,127008.00,6933.50,791400
19920212,237127610.00,134628.00,8274.90,496300
19920213,229794804.00,139749.00,8087.20,1115100
19920214,220388580.00,123380.00,7566.10,644300
19920218,234125180.00,155300.00,8226.80,735000
19920219,234123190.00,137410.00,8422.20,658500
19920220,270000470.00,156953.00,9676.80,628400
19920221,261023911.00,163945.00,9552.00,615800
19920224,181041260.00,118546.00,6303.30,285400
19920225,210062792.00,135136.00,7338.40,268200
19920226,241059229.00,135895.00,8677.60,423200
19920227,214784190.00,134504.00,7332.10,334600
19920228,220747550.00,134100.00,7805.80,356400
19920302,180351880.00,122518.00,6464.50,320800
19920303,206138734.00,125448.00,7327.00,574000
19920304,208647680.00,130544.00,7613.30,262500
19920305,208666790.00,129174.00,7336.20,261000
19920306,192005608.00,115492.00,6814.30,332500
19920309,160474920.00,111387.00,5514.10,337600
19920310,202747200.00,120529.00,7226.70,252600
19920311,186117100.00,122729.00,6528.00,259700
19920312,179940740.00,107637.00,6331.50,369700
19920313,177744010.00,107069.00,6156.70,159100
19920316,155518530.00,99031.00,5314.90,428900
19920317,188440456.00,117186.00,6456.90,345400
19920318,193920280.00,119898.00,6716.20,204200
19920319,197082920.00,114367.00,6662.10,223100
19920320,246581630.00,150062.00,9268.50,300300
19920323,156325759.00,109904.00,5428.00,186700
19920324,191385120.00,120572.00,6762.20,432500
19920325,192227980.00,111147.00,6638.50,229100
19920326,176158900.00,101230.00,5892.30,252400
19920327,165637920.00,104901.00,5668.60,208600
19920330,133470720.00,93654.00,4545.10,271200
19920331,181963265.00,110539.00,6194.50,229700
19920401,184819530.00,115156.00,6389.90,202800
19920402,184588270.00,115594.00,6349.50,173400
19920403,201147978.00,108366.00,7214.80,267700
19920406,179163160.00,106958.00,6378.80,307700
19920407,204107390.00,126197.00,7096.90,365000
19920408,249099500.00,152211.00,8990.40,170200
19920409,231937920.00,135856.00,8218.70,317900
19920410,199121090.00,120130.00,7105.80,405300
19920413,142923410.00,93702.00,4971.10,220800
19920414,230450890.00,135896.00,8484.00,678100
19920415,229477310.00,137719.00,8507.40,236600
19920416,232940480.00,132891.00,8983.60,288200
19920420,191731360.00,122096.00,7134.80,311500
19920421,214093140.00,126961.00,7615.20,357800
19920422,218536410.00,120879.00,7718.20,342900
19920423,237655780.00,132720.00,8717.20,238900
19920424,199091970.00,116775.00,6996.70,220100
19920427,172104340.00,105632.00,6040.90,791400
19920428,187947050.00,110313.00,6723.50,1261600
19920429,205569200.00,113276.00,7210.70,1212600
19920430,223035670.00,121784.00,8120.40,549500
19920501,177121630.00,110668.00,6420.40,246900
19920504,174161290.00,112734.00,6260.90,372100
19920505,200082020.00,122205.00,7058.20,463500
19920506,198805030.00,122023.00,7000.30,1137600
19920507,168112240.00,110576.00,5829.50,868700
